payment_id,booking_id,amount,payment_method,payment_status,transaction_date
542,542,11323,UPI,Success,2019-01-18
543,543,5883,UPI,Success,2019-01-28
545,545,6309,Credit Card,Success,2019-02-19
547,547,11701,Debit Card,Success,2019-01-07
553,553,3943,Debit Card,Success,2019-02-15
557,557,10262,Debit Card,Success,2019-02-18
558,558,7229,UPI,Success,2019-03-10
560,560,11602,UPI,Success,2019-03-10
566,566,7363,PayPal,Success,2019-01-16
567,567,7064,Credit Card,Success,2019-01-25
568,568,8372,Debit Card,Success,2019-02-09
569,569,10577,UPI,Success,2019-05-25
570,570,4647,Credit Card,Success,2019-03-27
571,571,13882,Credit Card,Success,2019-06-24
580,580,10844,Credit Card,Success,2019-01-06
582,582,3850,Debit Card,Success,2019-01-09
583,583,14388,Debit Card,Success,2019-02-25
586,586,9663,UPI,Success,2019-03-07
590,590,10262,UPI,Success,2019-01-16
593,593,13941,Credit Card,Success,2019-01-24
595,595,10231,Credit Card,Success,2019-01-06
597,597,12173,Credit Card,Success,2019-02-15
600,600,4174,Debit Card,Success,2019-04-08
612,612,14237,PayPal,Success,2019-05-03
613,613,13941,Debit Card,Success,2019-04-11
615,615,4878,PayPal,Success,2019-02-23
617,617,6300,PayPal,Success,2019-02-07
618,618,6937,UPI,Success,2019-03-23
619,619,18804,Debit Card,Success,2019-04-10
620,620,4284,Debit Card,Success,2019-01-19
622,622,14887,UPI,Success,2019-01-30
625,625,13377,Credit Card,Success,2019-04-09
627,627,13044,PayPal,Success,2019-06-10
628,628,9663,Credit Card,Success,2019-01-19
629,629,13292,UPI,Success,2019-02-17
634,634,16079,PayPal,Success,2019-01-08
636,636,9861,UPI,Success,2019-01-02
639,639,11507,Debit Card,Success,2019-03-23
641,641,6795,Credit Card,Success,2019-02-03
644,644,9413,UPI,Success,2019-01-02
646,646,14388,PayPal,Success,2019-04-05
647,647,9555,PayPal,Success,2019-04-08
649,649,8327,PayPal,Success,2019-04-08
651,651,10651,PayPal,Success,2019-03-25
662,662,6528,UPI,Success,2019-03-29
663,663,7005,PayPal,Success,2019-02-01
667,667,14388,Debit Card,Success,2019-04-22
669,669,4667,UPI,Success,2019-04-20
676,676,4804,Credit Card,Success,2019-03-14
682,682,3919,UPI,Success,2019-05-05
691,691,13243,Debit Card,Success,2019-02-01
692,692,3502,Debit Card,Success,2019-01-11
693,693,7888,UPI,Success,2019-02-27
698,698,11982,Debit Card,Success,2019-04-10
699,699,11134,PayPal,Success,2019-01-16
703,703,16079,UPI,Success,2019-04-26
711,711,6151,PayPal,Success,2019-02-01
714,714,7740,Credit Card,Success,2019-03-26
717,717,12373,Credit Card,Success,2019-04-26
718,718,3841,Credit Card,Success,2019-03-02
723,723,5510,Debit Card,Success,2019-01-22
731,731,12371,PayPal,Success,2019-02-28
736,736,7741,Debit Card,Success,2019-01-09
739,739,10919,Debit Card,Success,2019-03-02
742,742,4282,PayPal,Success,2019-01-27
744,744,13882,PayPal,Success,2019-05-22
745,745,3100,UPI,Success,2019-02-27
749,749,5065,Debit Card,Success,2019-03-23
750,750,6386,Credit Card,Success,2019-02-22
751,751,6794,PayPal,Success,2019-01-18
758,758,4812,UPI,Success,2019-05-08
760,760,9653,UPI,Success,2019-01-08
761,761,8907,Credit Card,Success,2019-04-18
763,763,7005,Credit Card,Success,2019-02-03
766,766,8610,PayPal,Success,2019-02-06
771,771,13817,Credit Card,Success,2019-02-19
772,772,10741,UPI,Success,2019-02-17
773,773,9001,Debit Card,Success,2019-02-26
774,774,7673,Credit Card,Success,2019-01-12
775,775,4778,Debit Card,Success,2019-02-12
779,779,5734,Credit Card,Success,2019-02-26
782,782,12692,UPI,Success,2019-03-04
792,792,6094,PayPal,Success,2019-02-08
794,794,2227,PayPal,Success,2019-05-03
795,795,15129,Credit Card,Success,2019-03-03
799,799,6216,UPI,Success,2019-02-11
806,806,3100,Debit Card,Success,2019-04-24
812,812,10966,PayPal,Success,2019-05-06
813,813,11087,PayPal,Success,2019-02-10
815,815,12646,UPI,Success,2019-01-02
821,821,11841,PayPal,Success,2019-06-04
822,822,12898,UPI,Success,2019-02-19
825,825,4483,UPI,Success,2019-04-03
829,829,5608,UPI,Success,2019-03-07
830,830,12760,Credit Card,Success,2019-01-29
832,832,6015,Debit Card,Success,2019-05-11
833,833,11150,Debit Card,Success,2019-02-12
839,839,2385,UPI,Success,2019-01-05
840,840,22270,UPI,Success,2019-01-07
841,841,5022,PayPal,Success,2019-02-19
847,847,7064,UPI,Success,2019-03-03
850,850,3597,Credit Card,Success,2019-01-05
853,853,4823,UPI,Success,2019-04-13
854,854,4804,Debit Card,Success,2019-01-05
856,856,14960,Debit Card,Success,2019-02-10
858,858,12257,Credit Card,Success,2019-04-11
859,859,10919,Credit Card,Success,2019-01-27
864,864,15129,Credit Card,Success,2019-03-14
868,868,14042,PayPal,Success,2019-02-23
871,871,7064,PayPal,Success,2019-02-20
875,875,11622,Debit Card,Success,2019-01-31
879,879,3873,UPI,Success,2019-01-03
889,889,12723,Credit Card,Success,2019-05-13
890,890,6643,Debit Card,Success,2019-04-25
891,891,6416,UPI,Success,2019-03-12
893,893,14237,Credit Card,Success,2019-06-12
897,897,12898,PayPal,Success,2019-03-12
898,898,10407,UPI,Success,2019-03-23
900,900,6850,UPI,Success,2019-01-30
911,911,9646,PayPal,Success,2019-04-10
914,914,9663,PayPal,Success,2019-02-01
918,918,14714,PayPal,Success,2019-05-28
919,919,6959,Debit Card,Success,2019-03-02
922,922,5069,UPI,Success,2019-03-13
923,923,10539,PayPal,Success,2019-01-07
926,926,9595,Credit Card,Success,2019-05-05
931,931,8475,Credit Card,Success,2019-04-30
933,933,6017,UPI,Success,2019-03-20
934,934,16294,PayPal,Success,2019-04-14
940,940,11936,Debit Card,Success,2019-03-17
941,941,11458,PayPal,Success,2019-05-03
946,946,9794,Debit Card,Success,2019-04-30
952,952,3383,Debit Card,Success,2019-05-25
953,953,15292,UPI,Success,2019-01-14
955,955,8372,UPI,Success,2019-04-19
958,958,5769,UPI,Success,2019-04-05
959,959,3847,Debit Card,Success,2019-02-27
961,961,14483,Credit Card,Success,2019-02-07
962,962,12898,UPI,Success,2019-01-01
970,970,13261,Debit Card,Success,2019-02-05
974,974,5406,PayPal,Success,2019-03-03
976,976,6496,Credit Card,Success,2019-04-18
979,979,10203,Credit Card,Success,2019-04-29
982,982,10844,PayPal,Success,2019-03-29
983,983,7931,Credit Card,Success,2019-01-21
984,984,9134,UPI,Success,2019-01-11
995,995,6955,Debit Card,Success,2019-02-15
997,997,3573,Credit Card,Success,2019-02-06
1008,1008,5201,Credit Card,Success,2019-02-01
1012,1012,13502,PayPal,Success,2019-02-10
1013,1013,10203,PayPal,Success,2019-02-05
1016,1016,13442,Debit Card,Success,2019-02-13
1023,1023,3782,Debit Card,Success,2019-03-11
1025,1025,4050,Credit Card,Success,2019-03-17
1032,1032,14781,UPI,Success,2019-04-07
1036,1036,10844,Debit Card,Success,2019-01-01
1045,1045,12819,Debit Card,Success,2019-01-01
1046,1046,4160,UPI,Success,2019-02-08
1047,1047,11822,PayPal,Success,2019-03-04
1051,1051,6794,PayPal,Success,2019-02-11
1052,1052,6711,Credit Card,Success,2019-06-06
1053,1053,4174,Debit Card,Success,2019-03-23
1057,1057,11003,PayPal,Success,2019-01-31
1061,1061,3383,UPI,Success,2019-02-21
1070,1070,10919,UPI,Success,2019-04-04
1072,1072,4823,PayPal,Success,2019-04-26
1080,1080,9424,UPI,Success,2019-02-22
1081,1081,11003,UPI,Success,2019-01-17
1088,1088,6144,PayPal,Success,2019-01-24
1090,1090,8040,UPI,Success,2019-05-06
1093,1093,7514,PayPal,Success,2019-01-07
1097,1097,3687,Credit Card,Success,2019-04-29
1100,1100,4804,UPI,Success,2019-01-14
1105,1105,13377,PayPal,Success,2019-03-13
1107,1107,6451,Debit Card,Success,2019-04-09
1110,1110,11726,Debit Card,Success,2019-02-10
1111,1111,14815,Credit Card,Success,2019-01-06
1112,1112,10368,Credit Card,Success,2019-05-31
1117,1117,12723,Debit Card,Success,2019-03-01
1120,1120,15957,PayPal,Success,2019-04-26
1122,1122,13731,UPI,Success,2019-01-17
1125,1125,14151,Debit Card,Success,2019-03-03
1134,1134,10261,Debit Card,Success,2019-01-16
1144,1144,2647,UPI,Success,2019-05-15
1145,1145,14300,UPI,Success,2019-04-28
1149,1149,14178,PayPal,Success,2019-01-12
1152,1152,9653,PayPal,Success,2019-05-03
1153,1153,8266,Debit Card,Success,2019-04-03
1157,1157,16655,Debit Card,Success,2019-03-15
1158,1158,8055,Credit Card,Success,2019-01-25
1159,1159,10844,UPI,Success,2019-01-10
1160,1160,13377,PayPal,Success,2019-02-02
1162,1162,14053,Debit Card,Success,2019-01-24
1165,1165,8907,Debit Card,Success,2019-04-09
1168,1168,20120,Credit Card,Success,2019-01-12
1172,1172,7280,PayPal,Success,2019-02-12
1174,1174,12273,UPI,Success,2019-03-12
1175,1175,6117,PayPal,Success,2019-01-07
1177,1177,3100,Debit Card,Success,2019-02-02
1178,1178,8040,PayPal,Success,2019-01-04
1182,1182,13377,Debit Card,Success,2019-01-07
1184,1184,13292,UPI,Success,2019-01-31
1186,1186,14067,UPI,Success,2019-05-10
1187,1187,15532,Credit Card,Success,2019-03-23
1188,1188,7563,Credit Card,Success,2019-02-24
1190,1190,11936,PayPal,Success,2019-02-21
1191,1191,10844,Credit Card,Success,2019-03-29
1194,1194,8586,Debit Card,Success,2019-02-21
1200,1200,5403,UPI,Success,2019-02-20
1201,1201,7662,UPI,Success,2019-02-25
1202,1202,7894,UPI,Success,2019-01-06
1203,1203,13547,Credit Card,Success,2019-02-22
1205,1205,13941,Credit Card,Success,2019-05-12
1207,1207,10791,PayPal,Success,2019-02-10
1208,1208,3597,UPI,Success,2019-04-17
1209,1209,10844,Debit Card,Success,2019-03-06
1210,1210,8330,PayPal,Success,2019-03-24
1213,1213,10413,Debit Card,Success,2019-02-02
1214,1214,5510,PayPal,Success,2019-03-20
1217,1217,17234,Credit Card,Success,2019-01-02
1218,1218,8529,Debit Card,Success,2019-02-15
1219,1219,7363,Credit Card,Success,2019-03-17
1222,1222,4957,Debit Card,Success,2019-06-09
1225,1225,4823,PayPal,Success,2019-03-23
1227,1227,9929,PayPal,Success,2019-02-15
1229,1229,17471,Credit Card,Success,2019-02-19
1237,1237,14231,PayPal,Success,2019-01-23
1240,1240,12373,Debit Card,Success,2019-02-25
1244,1244,7480,PayPal,Success,2019-01-05
1245,1245,13899,UPI,Success,2019-04-08
1246,1246,15288,PayPal,Success,2019-02-16
1247,1247,5911,UPI,Success,2019-02-06
1248,1248,4226,UPI,Success,2019-05-06
1249,1249,2017,Credit Card,Success,2019-04-17
1253,1253,10203,PayPal,Success,2019-02-15
1256,1256,13062,PayPal,Success,2019-03-06
1257,1257,4239,Credit Card,Success,2019-03-29
1259,1259,4409,Debit Card,Success,2019-02-08
1270,1270,13899,PayPal,Success,2019-03-16
1273,1273,16704,Credit Card,Success,2019-01-21
1274,1274,13292,Credit Card,Success,2019-01-23
1279,1279,15107,UPI,Success,2019-04-17
1280,1280,12373,Credit Card,Success,2019-01-23
1282,1282,4804,PayPal,Success,2019-02-05
1283,1283,10844,Debit Card,Success,2019-02-16
1284,1284,5644,Debit Card,Success,2019-04-09
1285,1285,10203,PayPal,Success,2019-03-25
1289,1289,15554,Debit Card,Success,2019-02-04
1290,1290,5842,Debit Card,Success,2019-04-15
1295,1295,9663,Debit Card,Success,2019-02-09
1299,1299,6218,PayPal,Success,2019-04-09
1301,1301,9555,Debit Card,Success,2019-05-25
1303,1303,13999,PayPal,Success,2019-02-06
1309,1309,7229,Debit Card,Success,2019-01-15
1312,1312,4544,PayPal,Success,2019-02-21
1316,1316,3383,UPI,Success,2019-02-26
1320,1320,11789,Debit Card,Success,2019-02-21
1321,1321,5678,UPI,Success,2019-01-29
1323,1323,14781,Debit Card,Success,2019-04-11
1325,1325,22270,Credit Card,Success,2019-01-15
1326,1326,6752,UPI,Success,2019-06-23
1327,1327,12436,PayPal,Success,2019-04-26
1332,1332,4778,UPI,Success,2019-02-27
1333,1333,4030,PayPal,Success,2019-02-16
1334,1334,12488,Credit Card,Success,2019-01-23
1336,1336,7757,Credit Card,Success,2019-01-10
1342,1342,3100,Credit Card,Success,2019-06-12
1345,1345,2017,UPI,Success,2019-01-04
1353,1353,11474,Debit Card,Success,2019-01-01
1354,1354,6327,Credit Card,Success,2019-04-30
1356,1356,6442,PayPal,Success,2019-05-29
1359,1359,4823,Credit Card,Success,2019-03-11
1361,1361,5636,Credit Card,Success,2019-01-23
1362,1362,12898,Debit Card,Success,2019-02-12
1363,1363,4319,Debit Card,Success,2019-02-02
1364,1364,3502,UPI,Success,2019-04-14
1365,1365,3543,PayPal,Success,2019-03-22
1369,1369,3597,Debit Card,Success,2019-02-14
1376,1376,5224,Debit Card,Success,2019-05-05
1377,1377,10262,Credit Card,Success,2019-03-27
1380,1380,10844,Credit Card,Success,2019-01-05
1381,1381,9296,UPI,Success,2019-01-22
1386,1386,5842,Debit Card,Success,2019-05-14
1388,1388,5613,Credit Card,Success,2019-02-23
1395,1395,14388,Credit Card,Success,2019-03-06
1405,1405,10262,PayPal,Success,2019-01-03
1410,1410,7480,Credit Card,Success,2019-02-28
1412,1412,3597,UPI,Success,2019-05-17
1414,1414,11627,Credit Card,Success,2019-03-29
1415,1415,12725,Credit Card,Success,2019-02-18
1418,1418,6860,PayPal,Success,2019-01-16
1426,1426,4667,Debit Card,Success,2019-02-12
1427,1427,16840,Credit Card,Success,2019-04-08
1428,1428,11134,PayPal,Success,2019-03-21
1430,1430,3543,PayPal,Success,2019-02-01
1431,1431,5000,UPI,Success,2019-03-21
1432,1432,5769,Credit Card,Success,2019-03-16
1435,1435,8488,PayPal,Success,2019-01-30
1436,1436,12692,UPI,Success,2019-05-06
1440,1440,3873,PayPal,Success,2019-03-11
1441,1441,10678,Debit Card,Success,2019-04-23
1442,1442,12970,Debit Card,Success,2019-02-06
1449,1449,6316,Debit Card,Success,2019-04-20
1451,1451,4174,Debit Card,Success,2019-04-10
1452,1452,14871,Credit Card,Success,2019-01-25
1454,1454,6218,Debit Card,Success,2019-05-13
1457,1457,5281,PayPal,Success,2019-03-12
1460,1460,6093,PayPal,Success,2019-06-05
1463,1463,7476,PayPal,Success,2019-01-31
1464,1464,1965,PayPal,Success,2019-03-29
1468,1468,4823,UPI,Success,2019-04-22
1470,1470,12242,Credit Card,Success,2019-03-11
1472,1472,6416,PayPal,Success,2019-05-22
1476,1476,4804,Debit Card,Success,2019-05-13
1479,1479,2071,Credit Card,Success,2019-02-20
1481,1481,12557,Credit Card,Success,2019-02-07
1483,1483,8266,UPI,Success,2019-04-05
1484,1484,13486,Debit Card,Success,2019-03-16
1485,1485,14151,Credit Card,Success,2019-01-15
1487,1487,13029,PayPal,Success,2019-05-02
1492,1492,13014,Credit Card,Success,2019-05-15
1496,1496,4174,Credit Card,Success,2019-02-12
1498,1498,26480,UPI,Success,2019-01-27
1503,1503,12312,Debit Card,Success,2019-01-30
1517,1517,6645,PayPal,Success,2019-04-06
1519,1519,5073,PayPal,Success,2019-01-06
1525,1525,4441,Debit Card,Success,2019-01-25
1526,1526,2754,Credit Card,Success,2019-04-22
1528,1528,12646,Credit Card,Success,2019-01-05
1529,1529,14924,Debit Card,Success,2019-01-12
1530,1530,10262,UPI,Success,2019-04-02
1531,1531,7452,UPI,Success,2019-02-04
1535,1535,4668,PayPal,Success,2019-01-28
1540,1540,9315,Credit Card,Success,2019-02-05
1541,1541,5911,Credit Card,Success,2019-02-07
1548,1548,10844,Credit Card,Success,2019-01-07
1550,1550,3943,Debit Card,Success,2019-03-14
1554,1554,16704,Debit Card,Success,2019-03-19
1555,1555,15129,UPI,Success,2019-04-07
1560,1560,9929,PayPal,Success,2019-04-05
1564,1564,12373,PayPal,Success,2019-03-21
1566,1566,16079,Debit Card,Success,2019-02-18
1568,1568,8236,UPI,Success,2019-01-21
1569,1569,16704,Credit Card,Success,2019-03-30
1580,1580,13555,Debit Card,Success,2019-01-14
1584,1584,2227,Debit Card,Success,2019-02-28
1585,1585,6513,Credit Card,Success,2019-01-07
1589,1589,2753,Debit Card,Success,2019-05-26
1590,1590,10794,UPI,Success,2019-03-08
1598,1598,10197,Credit Card,Success,2019-02-05
1601,1601,10577,UPI,Success,2019-05-18
1604,1604,2754,Debit Card,Success,2019-03-07
1605,1605,10696,UPI,Success,2019-03-03
1609,1609,13941,Credit Card,Success,2019-02-05
1612,1612,12192,Debit Card,Success,2019-01-11
1615,1615,11150,PayPal,Success,2019-06-23
1617,1617,5515,UPI,Success,2019-01-01
1618,1618,11087,Debit Card,Success,2019-03-03
1620,1620,9359,UPI,Success,2019-01-27
1629,1629,7229,Credit Card,Success,2019-04-01
1631,1631,6216,Credit Card,Success,2019-01-12
1640,1640,10676,Credit Card,Success,2019-02-13
1645,1645,4777,UPI,Success,2019-01-05
1658,1658,12647,UPI,Success,2019-01-12
1666,1666,3100,Credit Card,Success,2019-02-11
1669,1669,7229,Debit Card,Success,2019-02-24
1670,1670,5780,PayPal,Success,2019-02-08
1673,1673,3847,UPI,Success,2019-02-18
1676,1676,9916,Debit Card,Success,2019-03-22
1681,1681,4804,Credit Card,Success,2019-04-18
1684,1684,9663,UPI,Success,2019-01-22
1688,1688,7229,Debit Card,Success,2019-03-31
1691,1691,4174,UPI,Success,2019-04-11
1694,1694,7952,Credit Card,Success,2019-01-06
1695,1695,8137,Debit Card,Success,2019-01-29
1696,1696,4423,Credit Card,Success,2019-03-27
1699,1699,6955,PayPal,Success,2019-01-14
1702,1702,5088,Credit Card,Success,2019-02-23
1710,1710,8855,PayPal,Success,2019-01-19
1712,1712,13817,Debit Card,Success,2019-01-20
1713,1713,5277,Debit Card,Success,2019-04-15
1721,1721,5058,Credit Card,Success,2019-05-27
1724,1724,3943,PayPal,Success,2019-03-01
1725,1725,3342,Credit Card,Success,2019-02-24
1728,1728,5769,UPI,Success,2019-06-16
1729,1729,9646,Debit Card,Success,2019-01-25
1737,1737,7295,Debit Card,Success,2019-02-03
1739,1739,7013,Debit Card,Success,2019-01-13
1743,1743,14781,Debit Card,Success,2019-02-09
1745,1745,14231,Credit Card,Success,2019-02-28
1746,1746,4777,Credit Card,Success,2019-03-04
1748,1748,10844,PayPal,Success,2019-05-28
1749,1749,13748,Credit Card,Success,2019-02-23
1756,1756,3687,PayPal,Success,2019-04-02
1762,1762,11467,PayPal,Success,2019-01-06
1764,1764,4544,Debit Card,Success,2019-03-07
1765,1765,5117,Debit Card,Success,2019-02-22
1766,1766,3175,Credit Card,Success,2019-05-28
